sensor1,sensor2,sensor3,sensor4,labels
519,408,509,494,Lhemiplegia
514,406,518,497,Lhemiplegia
511,403,518,493,Lhemiplegia
508,401,517,483,Lhemiplegia
506,400,517,475,Lhemiplegia
503,399,516,469,Lhemiplegia
501,397,514,465,Lhemiplegia
499,397,512,463,Lhemiplegia
498,397,511,460,Lhemiplegia
496,401,507,459,Lhemiplegia
495,418,497,458,Lhemiplegia
500,467,488,458,Lhemiplegia
514,474,483,477,Lhemiplegia
518,464,478,493,Lhemiplegia
518,439,475,495,Lhemiplegia
518,427,473,496,Lhemiplegia
518,417,471,497,Lhemiplegia
519,413,469,500,Lhemiplegia
519,409,468,500,Lhemiplegia
517,407,508,497,Lhemiplegia
511,405,515,500,Lhemiplegia
509,405,515,489,Lhemiplegia
506,401,515,480,Lhemiplegia
504,399,514,473,Lhemiplegia
503,397,512,468,Lhemiplegia
500,398,510,464,Lhemiplegia
499,416,507,462,Lhemiplegia
497,456,499,460,Lhemiplegia
496,475,490,459,Lhemiplegia
504,479,483,458,Lhemiplegia
513,478,477,479,Lhemiplegia
517,467,474,495,Lhemiplegia
518,445,471,497,Lhemiplegia
519,430,469,501,Lhemiplegia
519,422,468,505,Lhemiplegia
518,415,468,507,Lhemiplegia
518,411,496,506,Lhemiplegia
512,410,513,507,Lhemiplegia
510,409,513,498,Lhemiplegia
507,404,513,487,Lhemiplegia
505,404,510,478,Lhemiplegia
503,416,508,471,Lhemiplegia
500,450,505,467,Lhemiplegia
499,472,497,464,Lhemiplegia
497,476,487,461,Lhemiplegia
496,478,481,459,Lhemiplegia
505,479,477,458,Lhemiplegia
513,477,472,466,Lhemiplegia
517,478,470,481,Lhemiplegia
518,455,467,483,Lhemiplegia
517,437,466,488,Lhemiplegia
517,427,465,497,Lhemiplegia
517,420,464,503,Lhemiplegia
515,414,463,504,Lhemiplegia
514,411,493,505,Lhemiplegia
508,412,509,507,Lhemiplegia
507,407,511,495,Lhemiplegia
505,403,509,486,Lhemiplegia
503,401,508,477,Lhemiplegia
501,405,506,471,Lhemiplegia
499,418,503,468,Lhemiplegia
498,441,493,464,Lhemiplegia
496,467,485,460,Lhemiplegia
495,474,479,459,Lhemiplegia
501,476,474,458,Lhemiplegia
510,473,471,469,Lhemiplegia
515,473,468,490,Lhemiplegia
515,449,466,498,Lhemiplegia
515,432,465,505,Lhemiplegia
512,423,464,509,Lhemiplegia
510,415,464,510,Lhemiplegia
507,411,467,512,Lhemiplegia
502,412,511,511,Lhemiplegia
501,408,514,506,Lhemiplegia
499,404,513,493,Lhemiplegia
497,400,512,483,Lhemiplegia
496,406,510,476,Lhemiplegia
495,439,505,470,Lhemiplegia
494,471,496,466,Lhemiplegia
493,475,487,463,Lhemiplegia
492,475,480,461,Lhemiplegia
491,477,475,459,Lhemiplegia
508,477,472,458,Lhemiplegia
513,476,470,465,Lhemiplegia
517,470,467,471,Lhemiplegia
518,448,465,468,Lhemiplegia
519,434,464,473,Lhemiplegia
519,424,463,478,Lhemiplegia
