sensor1,sensor2,sensor3,sensor4,labels
503,387,449,486,downstairs
500,388,475,486,downstairs
498,388,510,485,downstairs
496,387,509,486,downstairs
494,388,508,486,downstairs
491,387,503,490,downstairs
490,387,496,487,downstairs
489,388,487,488,downstairs
516,388,478,489,downstairs
514,387,471,488,downstairs
509,388,464,486,downstairs
504,387,459,487,downstairs
500,388,455,486,downstairs
497,388,453,485,downstairs
494,404,450,486,downstairs
492,491,497,487,downstairs
490,487,499,487,downstairs
489,481,499,487,downstairs
488,470,497,488,downstairs
487,465,496,487,downstairs
487,481,494,487,downstairs
503,493,485,488,downstairs
509,493,477,489,downstairs
510,476,469,494,downstairs
510,459,462,505,downstairs
509,448,458,514,downstairs
508,441,453,520,downstairs
506,434,451,522,downstairs
502,430,448,522,downstairs
499,429,496,522,downstairs
496,425,499,513,downstairs
494,420,497,504,downstairs
493,416,496,498,downstairs
491,415,495,493,downstairs
490,423,493,489,downstairs
488,450,488,485,downstairs
488,491,479,483,downstairs
508,492,470,482,downstairs
512,482,461,482,downstairs
513,461,455,479,downstairs
513,448,451,479,downstairs
513,438,449,478,downstairs
512,432,446,480,downstairs
509,427,445,515,downstairs
504,423,501,522,downstairs
501,420,503,508,downstairs
499,417,502,495,downstairs
497,415,500,486,downstairs
496,422,497,481,downstairs
493,478,490,478,downstairs
503,491,479,478,downstairs
512,488,469,477,downstairs
511,468,461,476,downstairs
509,452,456,487,downstairs
505,441,452,495,downstairs
502,433,449,507,downstairs
498,428,447,511,downstairs
495,423,444,513,downstairs
494,420,487,515,downstairs
493,417,499,514,downstairs
491,414,500,499,downstairs
489,412,500,490,downstairs
488,409,498,484,downstairs
487,439,495,479,downstairs
487,486,490,476,downstairs
503,488,482,476,downstairs
508,487,472,475,downstairs
509,474,464,486,downstairs
509,455,457,492,downstairs
508,443,452,489,downstairs
507,435,449,487,downstairs
507,428,446,497,downstairs
505,423,445,501,downstairs
504,420,459,500,downstairs
501,417,483,500,downstairs
498,415,492,507,downstairs
496,413,497,496,downstairs
494,411,498,489,downstairs
494,408,496,483,downstairs
492,407,493,478,downstairs
491,406,489,476,downstairs
489,404,481,474,downstairs
513,403,472,475,downstairs
513,401,463,474,downstairs
511,401,457,476,downstairs
509,400,452,472,downstairs
504,399,448,472,downstairs
500,398,445,471,downstairs
498,397,444,472,downstairs
496,397,484,472,downstairs
493,396,498,473,downstairs
491,394,496,475,downstairs
490,394,494,478,downstairs
489,393,487,477,downstairs
488,393,477,477,downstairs
505,392,469,479,downstairs
512,390,460,476,downstairs
512,390,455,477,downstairs
512,390,450,477,downstairs
508,389,446,476,downstairs
503,389,444,476,downstairs
500,389,443,477,downstairs
497,388,459,477,downstairs
495,386,505,477,downstairs
492,386,504,480,downstairs
491,387,502,480,downstairs
489,387,503,483,downstairs
487,387,501,482,downstairs
487,386,495,481,downstairs
486,386,485,482,downstairs
514,385,475,482,downstairs
514,385,467,481,downstairs
511,386,459,481,downstairs
506,385,454,481,downstairs
501,385,450,482,downstairs
499,386,448,482,downstairs
496,386,446,482,downstairs
493,387,501,482,downstairs
492,388,507,482,downstairs
490,386,505,484,downstairs
488,387,500,483,downstairs
487,387,496,485,downstairs
486,386,494,485,downstairs
486,388,489,484,downstairs
515,388,480,487,downstairs
514,387,473,484,downstairs
514,388,466,484,downstairs
514,387,460,484,downstairs
513,387,455,483,downstairs
510,387,451,484,downstairs
504,388,448,485,downstairs
501,388,446,485,downstairs
500,387,448,485,downstairs
497,389,505,483,downstairs
494,388,505,485,downstairs
492,387,505,485,downstairs
490,389,505,485,downstairs
489,409,505,486,downstairs
488,491,500,485,downstairs
510,497,490,486,downstairs
512,483,481,487,downstairs
512,462,472,485,downstairs
511,449,464,485,downstairs
510,440,458,485,downstairs
510,433,454,486,downstairs
508,429,451,499,downstairs
502,424,449,523,downstairs
500,422,500,524,downstairs
498,418,502,514,downstairs
495,415,501,503,downstairs
493,413,500,496,downstairs
492,423,497,490,downstairs
490,465,493,486,downstairs
488,492,485,482,downstairs
506,492,476,481,downstairs
510,490,466,482,downstairs
510,469,459,485,downstairs
510,454,454,500,downstairs
507,445,450,508,downstairs
502,437,447,512,downstairs
499,432,446,513,downstairs
496,428,444,516,downstairs
495,425,490,515,downstairs
493,423,499,510,downstairs
491,419,499,498,downstairs
489,420,497,490,downstairs
488,462,493,484,downstairs
487,489,485,480,downstairs
486,489,475,477,downstairs
507,489,466,477,downstairs
510,480,457,477,downstairs
511,466,453,493,downstairs
509,451,449,500,downstairs
508,444,446,504,downstairs
504,436,444,507,downstairs
500,431,442,510,downstairs
497,427,442,512,downstairs
495,424,500,514,downstairs
493,422,503,505,downstairs
492,418,501,494,downstairs
489,416,499,487,downstairs
488,413,494,481,downstairs
487,423,489,477,downstairs
486,449,481,474,downstairs
487,489,472,475,downstairs
508,489,464,472,downstairs
512,472,457,473,downstairs
511,454,452,492,downstairs
509,443,448,503,downstairs
507,434,446,507,downstairs
501,428,444,511,downstairs
498,424,442,512,downstairs
496,421,454,514,downstairs
494,417,497,513,downstairs
492,415,499,503,downstairs
491,413,499,494,downstairs
489,411,495,486,downstairs
487,409,489,481,downstairs
486,408,483,476,downstairs
485,407,477,474,downstairs
511,405,466,473,downstairs
512,405,459,470,downstairs
512,403,453,469,downstairs
509,401,449,467,downstairs
506,401,447,468,downstairs
504,399,444,469,downstairs
503,398,443,468,downstairs
500,397,441,468,downstairs
497,397,440,469,downstairs
494,396,441,469,downstairs
493,395,500,469,downstairs
492,394,504,469,downstairs
490,394,504,471,downstairs
488,394,498,472,downstairs
487,393,492,472,downstairs
