sensor1,sensor2,sensor3,sensor4,labels
506,515,481,452,walk
512,503,476,460,walk
512,494,473,472,walk
511,486,469,485,walk
505,480,467,495,walk
500,475,464,502,walk
496,471,463,507,walk
494,467,500,506,walk
493,487,512,489,walk
491,501,511,477,walk
490,506,508,469,walk
489,507,505,462,walk
489,509,493,457,walk
488,511,484,455,walk
505,511,478,452,walk
512,501,474,453,walk
512,492,471,464,walk
511,485,467,484,walk
508,480,465,495,walk
501,474,462,501,walk
497,470,462,509,walk
494,467,480,508,walk
493,469,512,496,walk
492,501,511,485,walk
490,506,510,474,walk
489,508,507,466,walk
489,509,503,460,walk
488,511,495,457,walk
489,513,484,453,walk
508,510,478,452,walk
511,501,475,452,walk
510,492,471,470,walk
505,485,468,480,walk
499,480,465,491,walk
495,474,464,498,walk
493,470,462,504,walk
492,467,461,505,walk
491,464,505,499,walk
489,505,509,485,walk
488,508,507,474,walk
488,510,506,466,walk
488,512,502,461,walk
487,512,494,455,walk
487,514,484,453,walk
498,513,478,451,walk
512,506,474,451,walk
512,496,470,457,walk
513,489,467,478,walk
510,482,464,489,walk
502,477,464,493,walk
497,472,460,499,walk
494,468,460,501,walk
492,466,502,502,walk
491,492,512,487,walk
490,505,511,475,walk
489,508,508,467,walk
488,508,505,462,walk
488,510,501,456,walk
487,511,489,453,walk
498,512,482,451,walk
512,505,477,449,walk
512,495,474,462,walk
512,487,470,484,walk
508,481,467,492,walk
501,476,464,497,walk
497,471,462,503,walk
494,468,489,505,walk
493,477,513,494,walk
491,503,513,481,walk
490,507,511,471,walk
489,507,507,464,walk
488,509,499,458,walk
487,511,488,454,walk
493,512,481,451,walk
509,504,476,450,walk
512,495,474,458,walk
512,487,469,475,walk
509,480,467,489,walk
502,475,464,497,walk
497,471,462,505,walk
495,467,472,507,walk
493,474,509,496,walk
491,503,511,484,walk
490,506,508,473,walk
489,506,505,465,walk
488,508,499,459,walk
488,510,486,455,walk
500,511,480,452,walk
508,502,475,455,walk
511,493,472,481,walk
509,485,468,488,walk
503,479,466,490,walk
497,473,464,495,walk
493,469,461,502,walk
492,466,472,503,walk
491,465,507,491,walk
490,501,510,481,walk
488,506,507,471,walk
488,507,506,464,walk
487,507,501,458,walk
487,510,490,454,walk
494,511,482,452,walk
506,505,477,453,walk
509,497,473,467,walk
507,489,469,486,walk
500,482,465,494,walk
495,477,465,500,walk
492,472,461,505,walk
491,468,490,506,walk
489,473,512,495,walk
488,500,512,483,walk
487,506,509,472,walk
487,507,506,465,walk
487,509,501,458,walk
486,512,489,455,walk
498,514,482,452,walk
511,505,477,450,walk
512,495,473,462,walk
508,487,470,480,walk
501,480,467,486,walk
496,474,464,493,walk
493,470,461,501,walk
491,467,477,503,walk
490,465,509,492,walk
488,496,510,480,walk
488,504,509,470,walk
487,505,507,463,walk
486,507,504,457,walk
486,509,498,453,walk
500,512,486,451,walk
509,504,480,452,walk
511,495,475,466,walk
508,486,472,479,walk
501,480,468,485,walk
496,474,465,494,walk
493,470,464,503,walk
491,466,464,502,walk
490,465,511,492,walk
488,492,511,480,walk
488,496,510,469,walk
487,501,508,462,walk
486,504,506,456,walk
486,509,500,453,walk
500,511,488,450,walk
511,503,482,453,walk
512,493,477,459,walk
510,485,473,470,walk
507,478,470,480,walk
500,473,466,490,walk
496,468,465,498,walk
494,465,483,498,walk
492,465,512,486,walk
490,493,512,475,walk
489,501,508,466,walk
489,505,507,459,walk
487,507,504,454,walk
487,510,493,451,walk
502,511,484,449,walk
510,502,477,467,walk
509,491,474,487,walk
504,484,470,490,walk
497,478,467,492,walk
493,472,463,497,walk
491,467,463,503,walk
490,465,497,501,walk
489,468,510,488,walk
488,492,510,477,walk
487,498,509,468,walk
487,502,507,461,walk
486,507,506,456,walk
485,510,497,452,walk
501,511,487,451,walk
510,502,480,454,walk
510,493,476,465,walk
510,484,471,476,walk
509,477,468,484,walk
505,472,466,498,walk
498,468,464,506,walk
495,465,505,507,walk
493,474,513,493,walk
491,495,512,479,walk
490,502,509,469,walk
489,505,507,461,walk
488,508,502,456,walk
487,510,490,453,walk
506,511,483,451,walk
511,499,477,451,walk
511,489,473,451,walk
509,481,470,466,walk
506,475,467,485,walk
500,470,464,496,walk
495,467,463,499,walk
494,465,507,499,walk
491,491,510,482,walk
490,501,509,471,walk
488,504,507,462,walk
488,507,505,456,walk
487,508,499,452,walk
488,511,487,450,walk
508,508,480,450,walk
511,497,475,452,walk
510,488,472,461,walk
509,481,468,482,walk
504,475,465,494,walk
496,470,463,502,walk
494,467,479,504,walk
493,465,513,489,walk
491,492,512,477,walk
489,501,509,467,walk
488,505,507,460,walk
487,507,502,454,walk
486,510,489,451,walk
504,510,482,449,walk
510,499,477,450,walk
510,489,473,456,walk
509,481,469,473,walk
505,476,467,490,walk
498,470,463,497,walk
495,466,463,503,walk
493,465,509,500,walk
491,493,510,483,walk
489,502,509,472,walk
488,505,506,464,walk
488,507,503,457,walk
487,508,490,452,walk
487,511,483,450,walk
509,504,476,450,walk
511,496,473,451,walk
509,487,469,465,walk
507,481,466,483,walk
501,475,464,493,walk
495,469,461,500,walk
493,466,462,505,walk
492,463,503,501,walk
489,480,508,484,walk
489,497,508,473,walk
488,504,507,465,walk
487,506,504,458,walk
485,508,501,453,walk
486,511,489,450,walk
506,511,481,448,walk
511,498,476,448,walk
509,489,472,446,walk
508,481,469,462,walk
502,475,465,478,walk
497,470,463,496,walk
494,466,461,503,walk
491,466,506,500,walk
489,483,510,485,walk
489,500,507,472,walk
487,504,505,463,walk
487,507,500,456,walk
486,508,496,452,walk
486,511,485,449,walk
507,507,479,448,walk
509,497,474,453,walk
509,488,470,486,walk
503,481,467,493,walk
496,476,464,500,walk
492,470,462,505,walk
491,466,461,504,walk
489,464,512,491,walk
488,487,512,482,walk
487,498,512,471,walk
486,501,509,464,walk
486,505,507,457,walk
485,507,498,454,walk
498,509,487,450,walk
511,501,480,452,walk
510,491,476,446,walk
507,483,473,445,walk
499,477,469,445,walk
496,472,468,479,walk
492,466,464,496,walk
490,463,465,496,walk
489,462,508,480,walk
488,492,509,471,walk
487,502,508,461,walk
486,506,506,456,walk
486,508,502,450,walk
485,510,490,448,walk
485,512,481,446,walk
511,503,476,447,walk
512,494,472,446,walk
510,485,468,445,walk
506,478,466,467,walk
501,473,463,484,walk
495,468,462,497,walk
493,464,461,501,walk
491,462,504,497,walk
489,495,510,482,walk
488,502,508,470,walk
487,505,508,462,walk
486,508,505,456,walk
485,510,501,451,walk
485,512,489,449,walk
502,512,480,447,walk
508,501,476,447,walk
509,492,472,446,walk
508,484,469,472,walk
503,478,465,489,walk
497,472,463,499,walk
492,468,461,505,walk
491,464,489,505,walk
489,484,505,491,walk
488,504,507,478,walk
487,508,505,468,walk
486,509,503,461,walk
485,509,495,455,walk
485,511,483,451,walk
499,512,477,449,walk
507,502,473,449,walk
509,492,469,480,walk
505,484,466,488,walk
497,477,463,490,walk
493,472,461,497,walk
490,468,459,501,walk
489,465,498,502,walk
487,472,510,488,walk
486,496,510,475,walk
486,502,508,467,walk
486,504,506,461,walk
484,505,503,454,walk
484,507,493,451,walk
502,508,484,449,walk
507,499,478,448,walk
509,489,474,455,walk
507,482,471,471,walk
502,476,467,484,walk
495,469,464,492,walk
492,466,464,500,walk
490,463,503,499,walk
488,491,509,484,walk
487,501,508,471,walk
486,504,508,463,walk
486,505,505,456,walk
485,506,499,452,walk
485,510,488,449,walk
506,512,480,453,walk
509,495,475,454,walk
508,486,471,464,walk
505,480,468,475,walk
500,474,464,488,walk
494,468,462,497,walk
491,465,463,504,walk
490,463,509,493,walk
488,495,512,480,walk
487,499,512,469,walk
486,502,510,461,walk
486,504,508,454,walk
